evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1642099214,13998823,1,473
1642099261,13998828,2,471
1642099270,13998829,1,470
1642099281,13998830,1,469
1642099304,13998833,1,468
1642099313,13998835,2,466
1642099348,13998840,6,460
1642099369,13998843,1,459
1642099458,13998850,3,456
1642099523,13998857,2,454
1642099536,13998859,1,453
1642099566,13998862,1,452
1642099588,13998863,2,450
1642099654,13998866,1,449
1642099704,13998867,4,445
1642099813,13998874,3,442
1642099848,13998878,1,441
1642099874,13998880,3,438
1642099881,13998881,1,437
1642099997,13998890,1,436
1642100018,13998891,1,435
1642100029,13998892,1,434
1642100103,13998898,3,431
1642100114,13998899,1,430
1642100141,13998901,1,429
1642100206,13998904,3,426
1642100230,13998906,1,425
1642100303,13998907,4,421
1642100330,13998911,4,417
1642100381,13998915,1,416
1642100396,13998916,1,415
1642100408,13998917,1,414
1642100474,13998924,1,413
1642100515,13998925,2,411
1642100551,13998928,1,410
1642100574,13998930,1,409
1642100673,13998941,2,407
1642100678,13998942,1,406
1642100681,13998943,3,403
1642100715,13998944,1,402
1642100735,13998947,1,401
1642100797,13998953,2,399
1642100806,13998954,1,398
1642100844,13998957,1,397
1642100888,13998962,1,396
1642100990,13998965,2,394
1642101028,13998969,2,392
1642101068,13998970,1,391
1642101087,13998971,1,390
1642101109,13998974,1,389
1642101125,13998976,3,386
1642101207,13998982,1,385
1642101261,13998988,1,384
1642101269,13998990,3,381
1642101299,13998991,2,379
1642101453,13998999,1,378
1642101569,13999002,2,376
1642101604,13999004,1,375
1642101695,13999008,1,374
1642101736,13999009,1,373
1642101850,13999016,1,372
1642102036,13999034,1,371
1642102076,13999038,1,370
1642102131,13999040,1,369
1642102134,13999041,1,368
1642102219,13999046,1,367
1642102270,13999048,1,366
1642102299,13999050,1,365
1642102346,13999052,1,364
1642102384,13999053,1,363
1642102459,13999054,2,361
1642102535,13999059,1,360
1642102574,13999060,1,359
1642102601,13999061,1,358
1642102657,13999065,1,357
1642102703,13999067,1,356
1642102715,13999068,1,355
1642102741,13999071,2,353
1642102931,13999085,1,352
1642103005,13999091,1,351
1642103018,13999092,1,350
1642103107,13999099,1,349
1642103140,13999104,2,347
1642103167,13999107,2,345
1642103183,13999110,2,343
1642103266,13999116,1,342
1642103279,13999117,2,340
1642103442,13999133,1,339
1642103518,13999137,1,338
1642103533,13999139,1,337
1642103563,13999140,1,336
1642103674,13999143,1,335
1642103692,13999144,1,334
1642103709,13999147,1,333
1642103741,13999150,2,331
1642103870,13999164,1,330
1642103885,13999165,1,329
1642103969,13999175,2,327
1642104028,13999184,1,326
1642104204,13999195,2,324
1642104307,13999204,1,323
1642104417,13999212,1,322
1642104457,13999215,1,321
1642104577,13999228,1,320
1642104724,13999238,1,319
1642104784,13999240,2,317
1642104800,13999243,1,316
1642105254,13999274,2,314
1642105269,13999276,1,313
1642105328,13999282,1,312
1642105440,13999292,1,311
1642105470,13999294,1,310
1642105514,13999300,1,309
1642105656,13999308,1,308
1642105829,13999324,1,307
1642105910,13999330,1,306
1642105922,13999331,1,305
1642105942,13999335,1,304
1642106142,13999350,1,303
1642106357,13999368,1,302
1642106377,13999369,2,300
1642106973,13999407,1,299
1642107045,13999415,1,298
1642107097,13999417,1,297
1642107199,13999423,1,296
1642107374,13999438,1,295
1642107600,13999455,1,294
1642107640,13999459,1,293
1642107703,13999462,1,292
1642107957,13999473,1,291
1642108029,13999479,1,290
1642108052,13999480,1,289
1642108472,13999521,1,288
1642108483,13999523,1,287
1642108506,13999524,1,286
1642108523,13999525,1,285
1642108555,13999530,1,284
1642108617,13999532,1,283
1642108633,13999533,1,282
1642108717,13999538,1,281
1642108854,13999547,1,280
1642108907,13999552,1,279
1642108990,13999559,1,278
1642109098,13999567,1,277
1642109121,13999570,1,276
1642109146,13999572,1,275
1642109330,13999585,1,274
1642109401,13999593,1,273
1642109509,13999604,1,272
1642109618,13999612,1,271
1642109848,13999625,1,270
1642109876,13999627,1,269
1642109957,13999632,1,268
1642110104,13999639,1,267
1642110110,13999641,1,266
1642110137,13999644,1,265
1642110189,13999651,1,264
1642110377,13999666,1,263
1642110387,13999668,1,262
1642110521,13999680,1,261
1642110562,13999684,2,259
1642110673,13999688,1,258
1642110786,13999696,1,257
1642110838,13999700,1,256
1642110862,13999703,1,255
1642110920,13999707,1,254
1642110943,13999709,1,253
1642110966,13999711,1,252
1642111125,13999717,1,251
1642111162,13999719,1,250
1642111303,13999727,1,249
1642111398,13999734,1,248
1642111527,13999746,1,247
1642111570,13999751,1,246
1642111737,13999766,1,245
1642112206,13999803,1,244
1642112259,13999807,1,243
1642112446,13999817,1,242
1642112477,13999820,1,241
1642112588,13999824,1,240
1642112988,13999866,1,239
1642113126,13999880,1,238
1642113149,13999884,1,237
1642113213,13999887,1,236
1642113230,13999889,1,235
1642113410,13999898,1,234
1642114018,13999940,1,233
1642114058,13999943,1,232
1642114106,13999947,1,231
1642114134,13999948,1,230
1642114151,13999949,1,229
1642114274,13999953,1,228
1642114446,13999966,2,226
1642114675,13999992,3,223
1642114763,13999997,1,222
1642114825,14000003,1,221
1642115238,14000028,1,220
1642115313,14000035,1,219
1642115786,14000064,1,218
1642115908,14000078,1,217
1642116022,14000085,1,216
1642116237,14000095,1,215
1642116280,14000097,1,214
1642116355,14000103,1,213
1642116434,14000109,1,212
1642116510,14000118,1,211
1642116532,14000121,1,210
1642116586,14000127,1,209
1642116685,14000135,1,208
1642116937,14000148,1,207
1642116974,14000153,1,206
1642117010,14000157,1,205
1642117088,14000164,1,204
1642117147,14000169,1,203
1642117149,14000170,1,202
1642117227,14000177,1,201
1642117263,14000179,1,200
1642117296,14000183,1,199
1642117319,14000184,1,198
1642117389,14000190,1,197
1642117397,14000191,1,196
1642117431,14000192,1,195
1642117641,14000214,1,194
1642117837,14000233,1,193
1642117882,14000236,1,192
1642118044,14000250,1,191
1642118142,14000254,1,190
1642118245,14000259,1,189
1642118952,14000309,1,188
1642120345,14000406,1,187
1642121676,14000497,1,186
1642122992,14000610,1,185
1642123067,14000617,1,184
1642124196,14000693,1,183
1642124363,14000707,1,182
1642124562,14000722,1,181
1642124704,14000733,1,180
1642124732,14000737,1,179
1642125152,14000769,1,178
1642125270,14000776,1,177
1642125318,14000780,1,176
1642125409,14000782,1,175
1642125641,14000803,1,174
1642125668,14000806,1,173
1642125776,14000812,1,172
1642125969,14000822,1,171
1642126115,14000833,1,170
1642126859,14000890,1,169
1642126885,14000893,1,168
1642127200,14000910,1,167
1642127293,14000916,1,166
1642127354,14000919,1,165
1642127450,14000927,1,164
1642127782,14000953,1,163
1642128115,14000986,1,162
1642128547,14001011,1,161
1642128579,14001014,1,160
1642129006,14001047,1,159
1642129579,14001090,1,158
1642129631,14001094,1,157
1642130314,14001145,1,156
1642130360,14001150,1,155
1642130466,14001160,1,154
1642130806,14001192,1,153
1642130850,14001198,1,152
1642131104,14001218,1,151
1642131134,14001221,1,150
1642131197,14001227,1,149
1642131358,14001243,1,148
1642131413,14001249,1,147
1642131474,14001253,1,146
1642132020,14001292,1,145
1642132293,14001325,1,144
1642132525,14001342,1,143
1642132856,14001370,1,142
1642133020,14001385,1,141
1642133044,14001386,1,140
1642133550,14001429,1,139
1642134039,14001465,1,138
1642134449,14001497,1,137
1642134567,14001511,1,136
1642135101,14001539,1,135
1642135213,14001547,1,134
1642135401,14001563,1,133
1642135426,14001564,1,132
1642135503,14001571,1,131
1642135576,14001576,1,130
1642135664,14001585,1,129
1642135815,14001598,1,128
1642136303,14001634,1,127
1642136750,14001670,1,126
1642136917,14001684,1,125
1642136956,14001686,1,124
1642137008,14001691,1,123
1642137245,14001711,1,122
1642137340,14001714,1,121
1642138067,14001778,1,120
1642138397,14001807,1,119
1642138462,14001812,1,118
1642138936,14001832,1,117
1642139307,14001866,1,116
1642139764,14001905,1,115
1642139810,14001911,1,114
1642140000,14001926,1,113
1642140451,14001962,1,112
1642140867,14001995,1,111
1642141024,14002004,2,109
1642141658,14002043,1,108
1642142300,14002086,1,107
1642143780,14002199,1,106
1642143980,14002218,1,105
1642144309,14002238,1,104
1642144497,14002259,1,103
1642144639,14002271,1,102
1642144738,14002274,1,101
1642146390,14002388,1,100
1642146526,14002403,1,99
1642146880,14002424,1,98
1642147705,14002482,1,97
1642148183,14002521,1,96
1642149105,14002591,1,95
1642149194,14002599,1,94
1642149803,14002644,1,93
1642149920,14002656,1,92
1642149930,14002657,1,91
1642151343,14002773,1,90
1642152271,14002830,1,89
1642152364,14002835,2,87
1642153156,14002878,1,86
