evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1650122837,14597132,2,8709
1650122863,14597136,2,8707
1650122866,14597137,6,8701
1650122893,14597138,2,8699
1650122934,14597141,4,8695
1650122947,14597142,6,8689
1650122984,14597144,4,8685
1650122988,14597146,2,8683
1650122995,14597150,2,8681
1650123014,14597153,2,8679
1650123070,14597155,6,8673
1650123087,14597156,10,8663
1650123099,14597158,2,8661
1650123103,14597159,2,8659
1650123142,14597160,4,8655
1650123168,14597161,2,8653
1650123176,14597162,4,8649
1650123202,14597163,6,8643
1650123249,14597165,4,8639
1650123314,14597168,14,8625
1650123342,14597169,2,8623
1650123348,14597170,2,8621
1650123383,14597173,2,8619
1650123391,14597174,10,8609
1650123429,14597175,4,8605
1650123439,14597177,4,8601
1650123534,14597189,2,8599
1650123538,14597190,4,8595
1650123571,14597195,8,8587
1650123600,14597199,2,8585
1650123627,14597200,4,8581
1650123642,14597201,2,8579
1650123657,14597204,2,8577
1650123669,14597208,2,8575
1650123729,14597212,2,8573
1650123745,14597218,2,8571
1650123850,14597220,6,8565
1650123860,14597221,4,8561
1650123916,14597222,4,8557
1650123931,14597224,2,8555
1650123937,14597225,6,8549
1650123958,14597226,2,8547
1650123977,14597229,4,8543
1650124026,14597232,2,8541
1650124050,14597233,6,8535
1650124064,14597234,6,8529
1650124076,14597235,6,8523
1650124129,14597239,6,8517
1650124152,14597242,2,8515
1650124169,14597243,2,8513
1650124212,14597244,4,8509
1650124264,14597248,2,8507
1650124321,14597253,2,8505
1650124335,14597254,2,8503
1650124342,14597255,2,8501
1650124355,14597256,4,8497
1650124408,14597258,4,8493
1650124440,14597259,2,8491
1650124480,14597260,2,8489
1650124520,14597264,4,8485
1650124583,14597268,2,8483
1650124588,14597270,6,8477
1650124606,14597272,6,8471
1650124641,14597273,10,8461
1650124662,14597275,2,8459
1650124703,14597278,2,8457
1650124718,14597279,2,8455
1650124775,14597283,2,8453
1650124789,14597285,31,8422
1650124806,14597286,190,8232
1650124877,14597287,180,8052
1650124882,14597288,169,7883
1650124906,14597289,152,7731
1650124926,14597290,174,7557
1650124940,14597291,165,7392
1650124968,14597292,171,7221
1650124972,14597293,146,7075
1650124976,14597294,46,7029
1650124978,14597295,97,6932
1650124992,14597296,88,6844
1650124999,14597297,21,6823
1650125022,14597298,135,6688
1650125052,14597299,155,6533
1650125072,14597300,126,6407
1650125098,14597301,148,6259
1650125100,14597302,3,6256
1650125102,14597303,46,6210
1650125119,14597304,19,6191
1650125122,14597305,123,6068
1650125141,14597306,125,5943
1650125150,14597307,44,5899
1650125160,14597308,19,5880
1650125161,14597309,8,5872
1650125165,14597310,46,5826
1650125169,14597311,141,5685
1650125171,14597312,43,5642
1650125184,14597313,27,5615
1650125185,14597314,102,5513
1650125220,14597315,104,5409
1650125236,14597316,39,5370
1650125245,14597317,49,5321
1650125259,14597318,8,5313
1650125262,14597319,114,5199
1650125282,14597321,88,5111
1650125322,14597322,98,5013
1650125335,14597323,47,4966
1650125348,14597324,91,4875
1650125383,14597325,43,4832
1650125400,14597326,81,4751
1650125431,14597327,4,4747
1650125433,14597328,29,4718
1650125447,14597329,47,4671
1650125474,14597330,32,4639
1650125493,14597331,52,4587
1650125520,14597332,21,4566
1650125525,14597333,8,4558
1650125550,14597334,60,4498
1650125575,14597335,53,4445
1650125579,14597336,62,4383
1650125611,14597337,22,4361
1650125623,14597338,14,4347
1650125637,14597339,22,4325
1650125645,14597340,30,4295
1650125659,14597342,28,4267
1650125668,14597343,10,4257
1650125695,14597344,57,4200
1650125696,14597345,5,4195
1650125697,14597346,30,4165
1650125715,14597347,14,4151
1650125726,14597348,24,4127
1650125728,14597349,8,4119
1650125732,14597350,39,4080
1650125742,14597351,16,4064
1650125750,14597352,6,4058
1650125756,14597353,59,3999
1650125787,14597354,53,3946
1650125814,14597355,3,3943
1650125819,14597356,14,3929
1650125822,14597357,27,3902
1650125835,14597358,1,3901
1650125837,14597359,89,3812
1650125851,14597360,26,3786
1650125869,14597361,21,3765
1650125877,14597362,15,3750
1650125885,14597363,3,3747
1650125891,14597364,32,3715
1650125893,14597365,57,3658
1650125894,14597366,12,3646
1650125909,14597367,41,3605
